T03,Population growth and indicators of fertility and mortality,,,,,
804,Ukraine,2010,Life expectancy at birth for females (years),73.8,Data refers to a 5-year period preceding the reference year.;Including Crimea.,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2017."
804,Ukraine,2015,Population annual rate of increase (percent),-0.5,Data refers to a 5-year period preceding the reference year.;Including Crimea.,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision, last accessed June 2017."
804,Ukraine,2015,Total fertility rate (children per women),1.5,Data refers to a 5-year period preceding the reference year.;Including Crimea.,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2017."
804,Ukraine,2015,"Infant mortality for both sexes (per 1,000 live births)",8.8,Data refers to a 5-year period preceding the reference year.;Including Crimea.,"United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
804,Ukraine,2015,"Maternal mortality ratio (deaths per 100,000 population)",24,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 1990 - 2015."""
804,Ukraine,2015,Life expectancy at birth for both sexes (years),71.1,Data refers to a 5-year period preceding the reference year.;Including Crimea.,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2017."
804,Ukraine,2015,Life expectancy at birth for males (years),66.1,Data refers to a 5-year period preceding the reference year.;Including Crimea.,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2017."
804,Ukraine,2015,Life expectancy at birth for females (years),76.0,Data refers to a 5-year period preceding the reference year.;Including Crimea.,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2017."
784,United Arab Emirates,2005,Population annual rate of increase (percent),7.5,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision, last accessed June 2017."
784,United Arab Emirates,2005,Total fertility rate (children per women),2.4,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2017."
784,United Arab Emirates,2005,"Infant mortality for both sexes (per 1,000 live births)",9.2,Data refers to a 5-year period preceding the reference year.,"United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
784,United Arab Emirates,2005,"Maternal mortality ratio (deaths per 100,000 population)",6,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 1990 - 2015."""
784,United Arab Emirates,2005,Life expectancy at birth for both sexes (years),74.8,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2017."
784,United Arab Emirates,2005,Life expectancy at birth for males (years),74.1,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2017."
784,United Arab Emirates,2005,Life expectancy at birth for females (years),76.3,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2017."
784,United Arab Emirates,2010,Population annual rate of increase (percent),11.8,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision, last accessed June 2017."
784,United Arab Emirates,2010,Total fertility rate (children per women),2.0,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2017."
784,United Arab Emirates,2010,"Infant mortality for both sexes (per 1,000 live births)",6.9,Data refers to a 5-year period preceding the reference year.,"United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
