T26,Population employed in research and development (R&D),,,,,
654,Saint Helena,2000,R & D personnel: Other supporting staff - total (number in full-time equivalent),23,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
670,Saint Vincent & Grenadines,2002,R & D personnel: Total (number in full-time equivalent),131,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
670,Saint Vincent & Grenadines,2002,R & D personnel: Researchers - total (number in full-time equivalent),21,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
670,Saint Vincent & Grenadines,2002,R & D personnel: Technicians - total (number in full-time equivalent),110,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
682,Saudi Arabia,2002,R & D personnel: Total (number in full-time equivalent),"4,182",Head count instead of Full-time equivalent.;Partial data.;Higher Education only.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
682,Saudi Arabia,2002,R & D personnel: Researchers - total (number in full-time equivalent),"1,513",Head count instead of Full-time equivalent.;Partial data.;Higher Education only.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
682,Saudi Arabia,2002,R & D personnel: Researchers - women (number in full-time equivalent),263,Head count instead of Full-time equivalent.;Partial data.;Higher Education only.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
682,Saudi Arabia,2002,R & D personnel: Technicians - total (number in full-time equivalent),"1,674",Head count instead of Full-time equivalent.;Partial data.;Higher Education only.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
682,Saudi Arabia,2002,R & D personnel: Other supporting staff - total (number in full-time equivalent),995,Head count instead of Full-time equivalent.;Partial data.;Higher Education only.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
682,Saudi Arabia,2009,R & D personnel: Total (number in full-time equivalent),"2,655",Head count instead of Full-time equivalent.;Partial data.;Government only.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
682,Saudi Arabia,2009,R & D personnel: Researchers - total (number in full-time equivalent),"1,271",Head count instead of Full-time equivalent.;Partial data.;Government only.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
682,Saudi Arabia,2009,R & D personnel: Researchers - women (number in full-time equivalent),18,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
682,Saudi Arabia,2009,R & D personnel: Technicians - total (number in full-time equivalent),658,Head count instead of Full-time equivalent.;Partial data.;Government only.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
682,Saudi Arabia,2009,R & D personnel: Other supporting staff - total (number in full-time equivalent),726,Head count instead of Full-time equivalent.;Partial data.;Government only.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
682,Saudi Arabia,2013,R & D personnel: Total (number in full-time equivalent),"751,927",Break in the time series.;Head count instead of Full-time equivalent.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
682,Saudi Arabia,2013,R & D personnel: Researchers - total (number in full-time equivalent),"35,324",Break in the time series.;Head count instead of Full-time equivalent.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
682,Saudi Arabia,2013,R & D personnel: Researchers - women (number in full-time equivalent),"8,198",Break in the time series.;Head count instead of Full-time equivalent.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
682,Saudi Arabia,2013,R & D personnel: Technicians - total (number in full-time equivalent),"100,053",Break in the time series.;Head count instead of Full-time equivalent.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
682,Saudi Arabia,2013,R & D personnel: Technicians - women (number in full-time equivalent),"39,420",Head count instead of Full-time equivalent.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
682,Saudi Arabia,2013,R & D personnel: Other supporting staff - total (number in full-time equivalent),"616,550",Break in the time series.;Head count instead of Full-time equivalent.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
682,Saudi Arabia,2013,R & D personnel: Other supporting staff - women (number in full-time equivalent),"276,272",Head count instead of Full-time equivalent.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
686,Senegal,2010,R & D personnel: Total (number in full-time equivalent),"5,642",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
686,Senegal,2010,R & D personnel: Researchers - total (number in full-time equivalent),"4,679",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
686,Senegal,2010,R & D personnel: Researchers - women (number in full-time equivalent),"1,162",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
