T04,International migrants and refugees,,,,,
740,Suriname,2015,International migrant stock: Both sexes (number),"46,836",Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
740,Suriname,2015,International migrant stock: Both sexes (% total population),8.5,Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
740,Suriname,2015,International migrant stock: Male (% total Population),9.2,Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
740,Suriname,2015,International migrant stock: Female (% total Population),7.7,Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
740,Suriname,2015,Total refugees and people in refugee-like situations (number),1,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
740,Suriname,2015,Total population of concern to UNHCR (number),1,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
740,Suriname,2017,International migrant stock: Both sexes (number),"47,699",Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
740,Suriname,2017,International migrant stock: Both sexes (% total population),8.5,Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
740,Suriname,2017,International migrant stock: Male (% total Population),9.2,Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
740,Suriname,2017,International migrant stock: Female (% total Population),7.7,Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
740,Suriname,2017,Total refugees and people in refugee-like situations (number),15,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
740,Suriname,2017,"Asylum seekers, including pending cases (number)",72,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
740,Suriname,2017,Other of concern to UNHCR (number),1,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
740,Suriname,2017,Total population of concern to UNHCR (number),88,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
752,Sweden,2005,International migrant stock: Both sexes (number),"1,125,790",,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
752,Sweden,2005,International migrant stock: Both sexes (% total population),12.5,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
752,Sweden,2005,International migrant stock: Male (% total Population),12,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
752,Sweden,2005,International migrant stock: Female (% total Population),12.9,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
752,Sweden,2005,Total refugees and people in refugee-like situations (number),"74,915",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
752,Sweden,2005,"Asylum seekers, including pending cases (number)","15,702",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
752,Sweden,2005,Other of concern to UNHCR (number),"5,785",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
752,Sweden,2005,Total population of concern to UNHCR (number),"96,402",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
752,Sweden,2010,International migrant stock: Both sexes (number),"1,337,214",,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
752,Sweden,2010,International migrant stock: Both sexes (% total population),14.2,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
752,Sweden,2010,International migrant stock: Male (% total Population),13.9,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
752,Sweden,2010,International migrant stock: Female (% total Population),14.6,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
752,Sweden,2010,Total refugees and people in refugee-like situations (number),"82,629",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
752,Sweden,2010,"Asylum seekers, including pending cases (number)","18,635",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
752,Sweden,2010,Other of concern to UNHCR (number),"9,545",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
752,Sweden,2010,Total population of concern to UNHCR (number),"110,809",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
752,Sweden,2015,International migrant stock: Both sexes (number),"1,602,522",,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
752,Sweden,2015,International migrant stock: Both sexes (% total population),16.4,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
