[T13.],Gross domestic product and gross domestic product per capita,,,,,
764,Thailand,1985,GDP per capita (US dollars),775,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
764,Thailand,1995,GDP per capita (US dollars),"2,845",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
764,Thailand,2005,GDP per capita (US dollars),"2,894",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
764,Thailand,2010,GDP per capita (US dollars),"5,075",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
764,Thailand,2015,GDP per capita (US dollars),"5,846",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
764,Thailand,2016,GDP per capita (US dollars),"5,979",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
764,Thailand,2017,GDP per capita (US dollars),"6,595",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
764,Thailand,1985,GDP in constant 2010 prices (millions of US dollars),"85,565",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
764,Thailand,1995,GDP in constant 2010 prices (millions of US dollars),"210,023",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
764,Thailand,2005,GDP in constant 2010 prices (millions of US dollars),"283,767",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
764,Thailand,2010,GDP in constant 2010 prices (millions of US dollars),"341,105",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
764,Thailand,2015,GDP in constant 2010 prices (millions of US dollars),"394,078",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
764,Thailand,2016,GDP in constant 2010 prices (millions of US dollars),"407,015",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
764,Thailand,2017,GDP in constant 2010 prices (millions of US dollars),"422,941",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
764,Thailand,1985,GDP real rates of growth (percent),4.6,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
764,Thailand,1995,GDP real rates of growth (percent),8.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
764,Thailand,2005,GDP real rates of growth (percent),4.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
764,Thailand,2010,GDP real rates of growth (percent),7.5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
764,Thailand,2015,GDP real rates of growth (percent),3.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
764,Thailand,2016,GDP real rates of growth (percent),3.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
764,Thailand,2017,GDP real rates of growth (percent),3.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
626,Timor-Leste,1995,GDP in current prices (millions of US dollars),438,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
626,Timor-Leste,2005,GDP in current prices (millions of US dollars),"1,814",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
626,Timor-Leste,2010,GDP in current prices (millions of US dollars),"3,999",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
626,Timor-Leste,2015,GDP in current prices (millions of US dollars),"3,104",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
626,Timor-Leste,2016,GDP in current prices (millions of US dollars),"2,521",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
626,Timor-Leste,2017,GDP in current prices (millions of US dollars),"2,955",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
626,Timor-Leste,1995,GDP per capita (US dollars),503,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
626,Timor-Leste,2005,GDP per capita (US dollars),"1,767",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
626,Timor-Leste,2010,GDP per capita (US dollars),"3,604",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
626,Timor-Leste,2015,GDP per capita (US dollars),"2,502",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
626,Timor-Leste,2016,GDP per capita (US dollars),"1,987",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
626,Timor-Leste,2017,GDP per capita (US dollars),"2,279",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
626,Timor-Leste,1995,GDP in constant 2010 prices (millions of US dollars),"1,416",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
626,Timor-Leste,2005,GDP in constant 2010 prices (millions of US dollars),"2,627",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
626,Timor-Leste,2010,GDP in constant 2010 prices (millions of US dollars),"3,999",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
626,Timor-Leste,2015,GDP in constant 2010 prices (millions of US dollars),"3,734",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
626,Timor-Leste,2016,GDP in constant 2010 prices (millions of US dollars),"3,765",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
626,Timor-Leste,2017,GDP in constant 2010 prices (millions of US dollars),"3,464",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
626,Timor-Leste,1995,GDP real rates of growth (percent),9.5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
626,Timor-Leste,2005,GDP real rates of growth (percent),35.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
626,Timor-Leste,2010,GDP real rates of growth (percent),-1.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
